turk_uydu,cop_parca,cop_kaynak,mesafe_t0_km,hiz_t0_km_s,tahmin_t24_km,gercek_t24_km,hata_km,hiz_t24_km_s,delta_mesafe_km,cop_inclination_deg,cop_eccentricity,cop_sma_km,cop_perigee_km,cop_apogee_km,roket_govdesi,malzeme,yanma_orani,yere_dusme_riski,orbital_risk_skoru,bilesik_risk_skoru,cop_norad_id,discos_object_class,discos_mission,discos_mass_kg,discos_shape,risk_sinifi,trend,hesap_utc
GOKTURK 1A,COSMOS 2251 DEB,cosmos_2251_copleri,3229.52,7.807,4792.68,2139.72,-2652.96,8.421,-1089.8,73.9103,0.0052,7069.0263,661.5883,734.4643,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.7032,33757,Payload Fragmentation Debris,,,,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,9878.43,4.224,4833.02,2096.53,-2736.49,9.918,-7781.91,74.014,0.0006,7002.8376,627.5316,636.1437,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.7032,33757,Payload Fragmentation Debris,,,,YUKSEK,YAKLASYOR,2026-05-05T08:33:12.952948+00:00
GOKTURK 2,COSMOS 2251 DEB,cosmos_2251_copleri,5401.24,4.856,4884.48,6327.56,1443.08,7.401,926.32,74.0306,0.0009,7036.725,659.0858,672.3641,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.7032,33757,Payload Fragmentation Debris,,,,YUKSEK,YAKLASYOR,2026-05-05T08:33:12.952948+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,10371.32,5.675,4884.84,4103.32,-781.52,9.323,-6268.0,73.9511,0.0055,7014.4584,604.8964,682.0204,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.7032,33757,Payload Fragmentation Debris,,,,YUKSEK,YAKLASYOR,2026-05-05T08:33:12.952948+00:00
GOKTURK 2,COSMOS 2251 DEB,cosmos_2251_copleri,5531.34,5.04,4922.85,591.2,-4331.65,3.698,-4940.15,74.0289,0.001,7060.0659,682.2112,695.9205,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.7032,33757,Payload Fragmentation Debris,,,,YUKSEK,YAKLASYOR,2026-05-05T08:33:12.952948+00:00
IMECE,COSMOS 2251 DEB,cosmos_2251_copleri,6607.19,5.041,4986.14,1595.03,-3391.11,8.13,-5012.16,74.0129,0.0022,7068.2948,682.0605,712.5291,False,"Alüminyum Alaşım, Çelik Reaksiyon Çarkları",%85,0.5,0.8,0.7032,33757,Payload Fragmentation Debris,,,,YUKSEK,YAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 3A,NIGCOMSAT 1R,aktif_uydular,352.27,0.027,1128.18,355.56,-772.62,0.027,3.28,0.0136,0.0003,42164.3277,35782.2174,35804.438,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,38014,Payload,Civil Communications,5086.0,Box + 2 Pan,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 4A,NIGCOMSAT 1R,aktif_uydular,378.04,0.028,1128.18,390.69,-737.49,0.028,12.65,0.0136,0.0003,42164.3277,35782.2174,35804.438,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,38014,Payload,Civil Communications,5086.0,Box + 2 Pan,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 5B,NIGCOMSAT 1R,aktif_uydular,360.79,0.027,1128.18,364.43,-763.75,0.027,3.65,0.0136,0.0003,42164.3277,35782.2174,35804.438,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,38014,Payload,Civil Communications,5086.0,Box + 2 Pan,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
TURKSAT 6A,NIGCOMSAT 1R,aktif_uydular,369.92,0.027,1128.18,372.76,-755.42,0.027,2.83,0.0136,0.0003,42164.3277,35782.2174,35804.438,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.671,38014,Payload,Civil Communications,5086.0,Box + 2 Pan,YUKSEK,UZAKLASYOR,2026-05-05T08:33:12.952948+00:00
